item_id,name,category,size,initial_position,new_position
1,Bulk Rice Sack (100kg),food,L,"(D2L,2,3-5)","(F2L,1,2-4)"
2,Vacuum Cleaner,household goods,M,"(D3L,1,2-3)","(I2R,1,1-2)"
3,Detergent (10L),chemicals,M,"(A2R,1,3-4)","(C1L,1,4-5)"
4,Canned Tuna,food,M,"(A1L,2,2-3)","(I2R,2,1-2)"
5,Canned Tuna,food,M,"(C3R,2,1-2)","(G3R,1,3-4)"
6,Bleach (5L),chemicals,M,"(B3R,1,3-4)","(I4R,1,2-3)"
7,Detergent (10L),chemicals,M,"(H1L,1,4-5)","(H1L,1,4-5)"
8,Steel Drum (200L),chemicals,L,"(I2R,2,1-3)","(A1R,1,3-5)"
9,Canned Tuna,food,M,"(F1R,2,4-5)","(G3R,1,1-2)"
10,Rice Pack,food,M,"(H3L,3,3-4)","(E3L,2,3-4)"
11,Vacuum Cleaner,household goods,M,"(I3R,2,2-3)","(G1L,3,4-5)"
12,Dishwasher,household goods,M,"(F2L,3,2-3)","(E1R,1,4-5)"
13,Heavy Machinery Part,household goods,L,"(G3R,3,1-3)","(D1L,1,1-3)"
14,Rice Pack,food,M,"(H3R,3,4-5)","(I3R,1,4-5)"
15,Blender,household goods,M,"(F1R,3,4-5)","(D3R,1,2-3)"
16,Bleach (5L),chemicals,M,"(D3L,2,3-4)","(A3L,1,2-3)"
17,Vacuum Cleaner,household goods,M,"(G3L,3,1-2)","(D3L,1,4-5)"
18,Frozen Pizza (500g),frozen,M,"(J5R,1,3-4)","(J5R,1,4-5)"
19,Rice Pack,food,M,"(E1R,1,1-2)","(C1R,1,4-5)"
20,Detergent (10L),chemicals,M,"(E3L,3,3-4)","(E1L,1,1-2)"
21,Rice Pack,food,M,"(B3L,2,2-3)","(C1R,1,1-2)"
22,Rice Pack,food,M,"(C3L,3,4-5)","(C2R,3,1-2)"
23,Heavy Machinery Part,household goods,L,"(E2L,1,3-5)","(A3R,1,1-3)"
24,Dishwasher,household goods,M,"(G3R,2,4-5)","(C3L,1,4-5)"
25,Rice Pack,food,M,"(H2R,3,1-2)","(H2R,1,2-3)"
26,Frozen Pizza (500g),frozen,M,"(J5R,1,1-2)","(J5R,2,2-3)"
27,Blender,household goods,M,"(E2L,3,4-5)","(G1R,1,4-5)"
28,Bleach (5L),chemicals,M,"(D2R,1,1-2)","(C3L,1,2-3)"
29,Rice Pack,food,M,"(F1L,3,2-3)","(H4L,2,1-2)"
30,Bulk Rice Sack (100kg),food,L,"(D2L,3,2-4)","(D1R,1,3-5)"
31,Frozen Peas (1kg),frozen,M,"(J5L,3,3-4)","(J4L,2,4-5)"
32,Detergent (10L),chemicals,M,"(H3R,2,4-5)","(H1R,1,1-2)"
33,Vacuum Cleaner,household goods,M,"(H1L,2,3-4)","(H4L,2,4-5)"
34,Frozen Pizza (500g),frozen,M,"(J3R,1,3-4)","(J4L,2,2-3)"
35,Frozen Pizza (500g),frozen,M,"(J3L,1,4-5)","(J1R,2,4-5)"
36,Water Bottle (500ml),beverages,S,"(A1L,2,1)","(B2R,3,1)"
37,Orange Juice (1L),beverages,M,"(E3L,3,1-2)","(B2R,3,2-3)"
38,Bulk Rice Sack (100kg),food,L,"(E1L,1,3-5)","(E3R,1,3-5)"
39,Rice Pack,food,M,"(G1L,1,4-5)","(G1R,3,3-4)"
40,Frozen Pizza (500g),frozen,M,"(J1L,1,1-2)","(J5R,1,2-3)"
41,Steel Drum (200L),chemicals,L,"(A1R,3,3-5)","(F1R,1,3-5)"
42,Frozen Chicken Wings (2kg),frozen,M,"(J5R,3,4-5)","(J4R,1,1-2)"
43,Orange Juice (1L),beverages,M,"(F3L,2,1-2)","(I1R,1,3-4)"
44,Water Bottle (500ml),beverages,S,"(A3L,3,3)","(C1L,2,1)"
45,Vacuum Cleaner,household goods,M,"(D3L,2,1-2)","(B3R,1,3-4)"
46,Blender,household goods,M,"(A2L,2,3-4)","(G2L,3,1-2)"
47,Bulk Rice Sack (100kg),food,L,"(G2L,3,2-4)","(B2L,1,1-3)"
48,Orange Juice (1L),beverages,M,"(G3R,2,1-2)","(I1R,2,3-4)"
49,Water Bottle (500ml),beverages,S,"(E2L,1,2)","(G3L,1,1)"
50,Heavy Machinery Part,household goods,L,"(A3L,2,2-4)","(H2L,1,1-3)"
51,Heavy Machinery Part,household goods,L,"(D3R,2,2-4)","(H4R,1,3-5)"
52,Milk (1L),beverages,M,"(F3R,1,1-2)","(B1L,2,4-5)"
53,Vacuum Cleaner,household goods,M,"(C1L,3,2-3)","(H3R,3,1-2)"
54,Rice Pack,food,M,"(C3R,1,4-5)","(G3R,2,2-3)"
55,Vacuum Cleaner,household goods,M,"(C3L,1,2-3)","(G3R,2,4-5)"
56,Detergent (10L),chemicals,M,"(F3R,2,3-4)","(B3L,1,4-5)"
57,Rice Pack,food,M,"(C1R,2,4-5)","(I1R,1,1-2)"
58,Canned Tuna,food,M,"(H4L,2,3-4)","(H1L,3,1-2)"
59,Orange Juice (1L),beverages,M,"(D2R,3,3-4)","(H1L,3,4-5)"
60,Steel Drum (200L),chemicals,L,"(H1R,2,1-3)","(G2R,1,2-4)"
61,Bleach (5L),chemicals,M,"(F3R,2,1-2)","(E3L,1,2-3)"
62,Milk (1L),beverages,M,"(G1R,2,3-4)","(B1R,1,4-5)"
63,Bulk Rice Sack (100kg),food,L,"(H4L,1,2-4)","(E2R,1,2-4)"
64,Milk (1L),beverages,M,"(G3L,1,3-4)","(G1R,1,2-3)"
65,Steel Drum (200L),chemicals,L,"(H4R,2,1-3)","(D2R,1,1-3)"
66,Bulk Rice Sack (100kg),food,L,"(C3L,3,1-3)","(F2R,1,3-5)"
67,Steel Drum (200L),chemicals,L,"(E2R,3,2-4)","(B3L,1,1-3)"
68,Steel Drum (200L),chemicals,L,"(D1L,2,3-5)","(E1R,1,1-3)"
69,Dishwasher,household goods,M,"(G1R,2,1-2)","(G1L,3,2-3)"
70,Detergent (10L),chemicals,M,"(H3L,3,1-2)","(E1L,1,4-5)"
71,Canned Tuna,food,M,"(B3L,1,1-2)","(B2L,1,4-5)"
72,Rice Pack,food,M,"(I2R,1,3-4)","(C1L,2,3-4)"
73,Bleach (5L),chemicals,M,"(G3R,1,4-5)","(H1R,1,3-4)"
74,Water Bottle (500ml),beverages,S,"(H2L,3,4)","(G2L,3,3)"
75,Steel Drum (200L),chemicals,L,"(G3L,3,3-5)","(H1L,1,1-3)"
76,Milk (1L),beverages,M,"(D3R,3,3-4)","(H1R,3,2-3)"
77,Milk (1L),beverages,M,"(H3R,3,1-2)","(I1R,2,1-2)"
78,Heavy Machinery Part,household goods,L,"(B3L,1,3-5)","(B1L,1,1-3)"
79,Frozen Peas (1kg),frozen,M,"(J4L,3,4-5)","(J3L,3,4-5)"
80,Detergent (10L),chemicals,M,"(I3R,3,2-3)","(A3L,1,4-5)"
81,Frozen Pizza (500g),frozen,M,"(J2L,2,2-3)","(J6L,1,1-2)"
82,Vacuum Cleaner,household goods,M,"(H4R,2,4-5)","(E2R,2,1-2)"
83,Frozen Pizza (500g),frozen,M,"(J3L,2,1-2)","(J6L,1,4-5)"
84,Frozen Pizza (500g),frozen,M,"(J4R,3,1-2)","(J1R,2,1-2)"
85,Rice Pack,food,M,"(E3L,2,3-4)","(H1L,2,4-5)"
86,Steel Drum (200L),chemicals,L,"(B2R,3,2-4)","(E2L,1,3-5)"
87,Orange Juice (1L),beverages,M,"(H2L,1,4-5)","(H2R,1,4-5)"
88,Vacuum Cleaner,household goods,M,"(C3L,1,4-5)","(B2R,1,1-2)"
89,Orange Juice (1L),beverages,M,"(B3L,3,1-2)","(D3R,1,4-5)"
90,Vacuum Cleaner,household goods,M,"(B1L,3,1-2)","(I4R,1,4-5)"
91,Frozen Chicken Wings (2kg),frozen,M,"(J2L,2,4-5)","(J3L,3,2-3)"
92,Canned Tuna,food,M,"(F2L,3,4-5)","(E3L,2,1-2)"
93,Steel Drum (200L),chemicals,L,"(C3R,1,1-3)","(G2L,1,1-3)"
94,Blender,household goods,M,"(G1R,1,3-4)","(D2L,1,1-2)"
95,Frozen Pizza (500g),frozen,M,"(J4R,1,4-5)","(J4R,1,3-4)"
96,Steel Drum (200L),chemicals,L,"(B1L,1,1-3)","(A1L,1,3-5)"
97,Steel Drum (200L),chemicals,L,"(A2L,1,2-4)","(A2L,1,2-4)"
98,Detergent (10L),chemicals,M,"(E1L,1,1-2)","(E3L,1,4-5)"
99,Canned Tuna,food,M,"(F2L,1,1-2)","(G3L,1,2-3)"
100,Orange Juice (1L),beverages,M,"(F3L,3,1-2)","(G3L,1,4-5)"
101,Water Bottle (500ml),beverages,S,"(H3L,2,5)","(B1L,2,3)"
102,Water Bottle (500ml),beverages,S,"(E1L,2,4)","(H1R,3,4)"
103,Frozen Pizza (500g),frozen,M,"(J4L,3,1-2)","(J1R,1,4-5)"
104,Frozen Pizza (500g),frozen,M,"(J1R,1,4-5)","(J5R,2,4-5)"
105,Dishwasher,household goods,M,"(C3R,2,3-4)","(H4R,2,3-4)"
106,Water Bottle (500ml),beverages,S,"(H4L,3,3)","(G1R,3,5)"
107,Water Bottle (500ml),beverages,S,"(E3R,1,1)","(I3R,1,1)"
108,Water Bottle (500ml),beverages,S,"(G3L,1,5)","(H2R,1,1)"
109,Orange Juice (1L),beverages,M,"(H2R,2,4-5)","(H4R,2,1-2)"
110,Bulk Rice Sack (100kg),food,L,"(E3L,1,3-5)","(D3L,1,1-3)"
111,Bleach (5L),chemicals,M,"(C1L,1,4-5)","(C1L,1,1-2)"
112,Heavy Machinery Part,household goods,L,"(H2R,1,1-3)","(C3R,1,3-5)"
113,Rice Pack,food,M,"(F2R,1,3-4)","(I2R,2,4-5)"
114,Rice Pack,food,M,"(D2R,1,3-4)","(D2L,1,3-4)"
115,Detergent (10L),chemicals,M,"(E2R,1,3-4)","(I2R,1,3-4)"
116,Orange Juice (1L),beverages,M,"(H3L,2,2-3)","(F3L,1,1-2)"
117,Vacuum Cleaner,household goods,M,"(I2R,2,4-5)","(A2R,1,1-2)"
118,Heavy Machinery Part,household goods,L,"(F1R,3,1-3)","(H3L,1,2-4)"
119,Orange Juice (1L),beverages,M,"(F3L,2,3-4)","(H3R,3,3-4)"
120,Blender,household goods,M,"(B3R,1,1-2)","(C2R,3,4-5)"
121,Milk (1L),beverages,M,"(H2L,2,1-2)","(G1R,3,1-2)"
122,Orange Juice (1L),beverages,M,"(C2R,1,4-5)","(H1L,2,1-2)"
123,Bulk Rice Sack (100kg),food,L,"(B2L,1,3-5)","(B1R,1,1-3)"
124,Detergent (10L),chemicals,M,"(D3L,1,4-5)","(A2R,1,4-5)"
125,Vacuum Cleaner,household goods,M,"(C1L,2,2-3)","(D1R,1,1-2)"
126,Detergent (10L),chemicals,M,"(I2R,1,1-2)","(E2L,1,1-2)"
127,Milk (1L),beverages,M,"(B1R,1,3-4)","(F3L,1,3-4)"
128,Dishwasher,household goods,M,"(A3L,3,4-5)","(B3R,1,1-2)"
129,Frozen Peas (1kg),frozen,M,"(J4R,1,2-3)","(J1R,1,2-3)"
130,Detergent (10L),chemicals,M,"(C2L,3,1-2)","(B2R,1,4-5)"
131,Blender,household goods,M,"(I1R,2,3-4)","(A2R,2,4-5)"
132,Water Bottle (500ml),beverages,S,"(D3R,2,5)","(A2R,2,2)"
133,Blender,household goods,M,"(H2L,2,3-4)","(A1L,1,1-2)"
